id,product_type,recommended_pattern,style_priority,color_mood,typography_mood,key_effects,decision_rules,anti_patterns,source
1,SaaS General,Hero + Feature Cards + CTA Strip + Pricing,Flat Modern + Glassmorphism,Trust blue + orange CTA,Professional hierarchy clear,Subtle hover 200ms; smooth transitions; card lift 4px,Match glassmorphism if data-heavy; flat if content-first; always include pricing anchor,Excessive animation; dark mode forced; no pricing visible above fold,"WCAG 2.2 / Material Design 3"
2,Micro SaaS,Hero-Centric + Single CTA + Trust Row,Bold flat + dark mode optional,Bold primary + accent contrast,Modern readable energetic,CTA pulse 2s if bold brand; fast fade-in 200ms,If pre-launch use waitlist; if single feature keep hero 100vh; always one primary CTA only,Multiple competing CTAs; no trust signals; hidden pricing,"WCAG 2.2"
3,Developer Tool,Sidebar Command + Code Area + Top Bar,Utility First + Terminal-inspired,Monochrome dark or light; accent for interactive,Monospace for code; system sans for UI,Focus ring always visible; code syntax highlight; no transition on code blocks,Dark mode default for code-heavy; keyboard-first; no hover-only actions; breadcrumb nav,Bright pastel colors in code area; round cards around code blocks,"WCAG 2.2 / Apple HIG 2025"
4,Admin Panel,Split Sidebar + Data Table + Action Bar,Data Dense + Clean Light,Neutral slate; status colors with icons,System sans compact; 13-14px for table rows,Row hover highlight 150ms; sticky header; column sort animation,Prioritize scanability; group related filters; bulk actions in action bar not context menu,Nested 3+ level sidebar; too many colors for status indicators; data truncated without tooltip,"WCAG 2.2 SC 1.3.1 / Material Design 3"
5,E-commerce Consumer,Product Grid + Filter Sidebar + Cart Drawer,Card Grid + Scroll Story,Brand primary + success green,Readable engaging clear hierarchy,Card hover scale 1.02 200ms; drawer slide 300ms; skeleton on load,Show social proof (ratings) on card; urgency scarcity only when real; fast checkout via drawer,Filter that forces page reload; product cards without price; checkout behind auth wall,"WCAG 2.2 / Baymard Institute E-commerce 2024"
6,E-commerce Luxury,Curated Hero + Product Showcase + Brand Story,Liquid Glass + Air minimal,Midnight gold or stone + gold accent,Elegant serif heading; refined body,Slow fade-in 400ms; subtle parallax; chromatic text optional,Never show sale price prominently; no countdown timers; editorial narrative before CTA,"Flash sale urgency tactics; excessive animation; crowded grid; promotional banners","WCAG 2.2 / Apple HIG 2025"
7,Mobile iOS App,Tab Bar + Card Feed + Sheet Modal,iOS Human Interface,System colors with brand tint,SF Pro Display + SF Pro Text,Spring animation 350ms; haptic implied; blur on modal sheet,Follow Apple HIG tab bar 3-5 items; use sheets not modal dialogs; respect safe areas,Non-standard navigation patterns; web-style dropdowns; modal covering full screen without handle,"Apple HIG 2025"
8,Mobile Android App,Bottom Nav + List/Grid + FAB + Bottom Sheet,Material You,Dynamic color tonal; brand as seed,Roboto or Google Sans,Shared element 300ms; FAB morph; tonal surface elevation,Use FAB for primary action; bottom nav 3-5 items; dynamic color from user wallpaper; M3 components,Hard-coded primary color ignoring Material You; non-standard FAB behavior; scrollable tabs >5,"Material Design 3"
9,Analytics Dashboard,KPI Row + Chart Grid + Filter Bar + Time Range,Cockpit dark + Data Dense light,Status colors with text labels; muted palette,System mono for numbers; system sans for labels,Chart transitions 400ms; KPI counter 800ms; tooltip fade 150ms; no layout shift,Default to most important KPI first; persist filter state in URL; provide CSV export always,Pie charts for >4 categories; chart colors without text labels; filter state lost on refresh,"WCAG 2.2 / W3C Data Visualization"
10,BI Tool,Multi-Chart Canvas + Sidebar Filter + Drill Down,Scientific + Data Dense,Muted academic palette; accent for selected,Compact system sans for dense data,Drill-down expand 250ms; selection highlight; cross-filter fade 200ms,Cross-filter linked charts on selection; undo for all filter actions; breadcrumb for drill-path,Charts that don't update on filter; no export; no undo for filter changes,"WCAG 2.2 / Tableau Design Guidelines"
