id,name,category,heading_stack,body_stack,mono_stack,mood,best_for,wcag_min_size,line_height,source,notes
1,System Native Web,"system-first","-apple-system BlinkMacSystemFont 'Segoe UI' Roboto Helvetica Arial sans-serif","system-ui -apple-system BlinkMacSystemFont 'Segoe UI' sans-serif","'SFMono-Regular' Consolas 'Liberation Mono' Menlo monospace","neutral professional native-feel","developer tools dashboards admin panels cross-platform","16px","1.5","WCAG 2.2 SC 1.4.8 / Apple HIG 2025","Zero network requests; native rendering; platform-consistent"
2,iOS Native,"system-first","'SF Pro Display' -apple-system BlinkMacSystemFont sans-serif","'SF Pro Text' -apple-system BlinkMacSystemFont sans-serif","'SF Mono' 'SFMono-Regular' Menlo monospace","clean rounded apple-native","iOS web apps Safari PWA Apple ecosystem","16px","1.5","Apple HIG 2025","Uses SF Pro when available; no webfont requests needed on iOS"
3,Android Native,"system-first","'Google Sans' Roboto sans-serif","Roboto 'Noto Sans' sans-serif","'Roboto Mono' monospace","material google android","Android web apps PWA Chrome ecosystem","16px","1.5","Material Design 3","Google Sans ships with Chrome; Roboto universally available"
4,Windows Native,"system-first","'Segoe UI Variable' 'Segoe UI' system-ui sans-serif","'Segoe UI' system-ui sans-serif","Consolas 'Courier New' monospace","fluent microsoft enterprise windows","Electron apps Windows web apps enterprise","16px","1.5","Windows Fluent Design System","Segoe UI Variable ships with Windows 11"
5,Editorial Classic,"system-first serif","Georgia 'Times New Roman' serif","Georgia 'Times New Roman' serif","Courier monospace","editorial classic literary traditional","blogs reading articles editorial sites","16px","1.6","WCAG 2.2 SC 1.4.8","Universal Georgia; max legibility for long-form reading; zero deps"
6,Technical Mono,"system-first mono","'SFMono-Regular' Consolas 'Liberation Mono' Menlo monospace","system-ui sans-serif","'SFMono-Regular' Consolas 'Liberation Mono' Menlo monospace","technical precise code cli","developer tools terminal interfaces documentation","14px","1.5","WCAG 2.2 / Apple HIG 2025","System mono stack; always available; zero network"
7,Hybrid Modern,"system-first","'Helvetica Neue' Helvetica Arial sans-serif","Georgia serif","'SFMono-Regular' Consolas monospace","refined hybrid contrast editorial modern","editorial with code examples technical blogs","16px","1.6","WCAG 2.2 SC 1.4.8","Helvetica heading + Georgia body; timeless contrast pairing"
8,Inter System,"web-optional","Inter system-ui -apple-system sans-serif","Inter system-ui sans-serif","'JetBrains Mono' 'Fira Code' monospace","modern clean neutral tech","SaaS apps dashboards developer tools","16px","1.5","WCAG 2.2 / OpenType","Inter is often pre-cached; self-host recommended: fontsource.org"
9,Geist,"web-optional","Geist sans-serif","'Geist Mono' monospace","'Geist Mono' monospace","developer vercel modern technical","developer platforms AI tools next.js apps","16px","1.5","WCAG 2.2","Vercel Geist; open-source; MIT license; self-host via geist-font.vercel.app"
10,IBM Plex,"web-optional","'IBM Plex Sans' system-ui sans-serif","'IBM Plex Serif' serif","'IBM Plex Mono' monospace","technical authoritative IBM data","data tools enterprise analytics dashboards","16px","1.5","WCAG 2.2 / IBM Carbon Design","IBM open-source; all weights available; self-host recommended"
11,JetBrains Mono Only,"web-optional","'JetBrains Mono' 'Fira Code' monospace","system-ui sans-serif","'JetBrains Mono' 'Fira Code' monospace","developer code IDE terminal","code editors developer tools CLI","14px","1.5","WCAG 2.2","JetBrains Mono open-source; ligature support; self-host"
12,Source Serif,"web-optional","'Source Serif 4' Georgia serif","'Source Sans 3' system-ui sans-serif","'Source Code Pro' monospace","readable authoritative adobe professional","documentation editorial academic tools","16px","1.6","WCAG 2.2 / Adobe Open Source","Adobe open-source family; all self-hostable from GitHub"
13,DM Family,"web-optional","'DM Sans' system-ui sans-serif","'DM Serif Display' serif","'DM Mono' monospace","startup modern editorial contrast","startup landing editorial hybrid","16px","1.5","WCAG 2.2","Google Fonts DM family; open-source; self-host recommended"
14,Atkinson Hyperlegible,"web-optional","'Atkinson Hyperlegible' system-ui sans-serif","'Atkinson Hyperlegible' system-ui sans-serif","'Fira Code' monospace","accessible legible dyslexia low-vision","healthcare education accessibility-first apps","16px","1.6","WCAG 2.2 / Braille Institute 2020","Designed for low-vision; open-source Braille Institute; highest legibility"
15,Noto Universal,"web-optional","'Noto Sans' system-ui sans-serif","'Noto Serif' serif","'Noto Sans Mono' monospace","universal multilingual global inclusive","international apps multilingual global platforms","16px","1.5","WCAG 2.2 / Unicode Standard","Google Noto covers 1000+ languages; essential for i18n"
16,Variable Fluid,"system-first","font-variation-settings var() clamp() fluid","system-ui sans-serif","monospace","progressive modern fluid adaptive","modern web apps that use CSS custom properties","clamp(1rem 2vw 1.125rem)","clamp(1.4 1.5 1.6)","WCAG 2.2 SC 1.4.4 Resize Text / W3C CSS Fonts 4","Use CSS fluid typography: font-size: clamp(min vw max)"
17,Accessible Bold,"system-first","system-ui -apple-system sans-serif","system-ui sans-serif","monospace","bold accessible clear directive","government apps public sector high-stakes","18px","1.6","WCAG 2.2 SC 1.4.3 / USWDS 3.0","18px body meets large-text contrast ratio (3:1); USWDS compliant"
18,Dense Compact,"system-first","'Helvetica Neue' Helvetica Arial sans-serif","'Helvetica Neue' Helvetica sans-serif","monospace","compact dense information efficient","data grids tables admin dashboards","13px (data cells 12px min)","1.4","WCAG 2.2 SC 1.4.12 Text Spacing","Dense tables may use 12px if only data; interactive text must be 16px"
19,Rounded Friendly,"system-first","'Trebuchet MS' system-ui sans-serif","'Trebuchet MS' system-ui sans-serif","monospace","friendly approachable soft rounded consumer","consumer apps kids education wellness","16px","1.5","WCAG 2.2","Trebuchet MS universally available; friendly round curves; zero deps"
20,Print Serif,"system-first","'Palatino Linotype' Palatino 'Book Antiqua' serif","'Georgia' serif","'Courier New' Courier monospace","print-inspired classical traditional literary","print-style editorial long-read publishing","16px","1.6","WCAG 2.2 SC 1.4.8","Palatino universally pre-installed; authentic print feel; zero network"
21,Monospace Documentation,"system-first mono","'Courier New' Courier monospace","'Courier New' Courier monospace","'Courier New' Courier monospace","plain text terminal legacy classic","plain-text documentation legacy systems terminal","14px","1.5","WCAG 2.2","Courier New; universally available; ultra-portable"
