id,priority,product_keywords,style_match,palette_match,typography_match,pattern_match,chart_match,confidence,rationale,source
1,1,"developer tool CLI terminal ops devops","utility-first terminal cross-cli-platform","github-dark terminal-green code-dark","system-native-web technical-mono ijfw-terminal","Developer Tool","Line Chart Bar Chart Stat Card","HIGH","Developer context signals: monospace preference dark-mode default keyboard-first navigation; zero decorative chrome; SVG icons only","WCAG 2.2 / Apple HIG 2025"
2,1,"dashboard analytics BI metrics KPI monitoring","cockpit data-dense bento-grid","slate-pro data-teal bloomberg-dark","system-native-web dense-compact","Analytics Dashboard","Line Chart Stat Card Heatmap Bar Chart","HIGH","Data-heavy context: prioritize legibility over aesthetics; status colors with text labels; chart accessibility mandatory","WCAG 2.2 / W3C Data Visualization"
3,1,"landing marketing SaaS website homepage","hero-bold scroll-story gradient-mesh","trust-blue-saas violet-spark coral-pop","system-native-web dm-family geist","Marketing Landing","Stat Card Funnel Chart","HIGH","Conversion context: single CTA goal; social proof row; scroll-triggered reveals; mobile-first breakpoints","WCAG 2.2 / Baymard Institute CRO 2024"
4,1,"ecommerce shop store product checkout cart","card-grid scroll-story","success-convert luxury-black warm-market","system-native-web inter-system","E-commerce Consumer","Funnel Chart Sparkline","HIGH","Commerce context: product grid primary; urgency only when real; social proof on cards; drawer cart preferred over page nav","WCAG 2.2 / Baymard Institute E-commerce 2024"
5,1,"admin panel CMS back-office management internal","sidebar-command data-dense split-pane","corporate-graphite enterprise-slate","dense-compact system-native-web","Admin Panel","Bar Chart Line Chart Stat Card","HIGH","Internal tool context: power-user density; bulk actions; keyboard shortcuts; table accessibility critical","WCAG 2.2 SC 1.3.1"
6,1,"mobile iOS iPhone app native swift","ios-human-interface","sky-fresh rose-garden emerald-fresh","ios-native","Mobile iOS App","Bar Chart Stat Card Sparkline","HIGH","iOS HIG: SF Pro stack; 44px touch targets; spring animation; sheet modal; safe area insets; bottom tab bar 3-5 items","Apple HIG 2025"
7,1,"mobile Android app material google","material-you","sky-fresh rose-garden","android-native","Mobile Android App","Bar Chart Stat Card","HIGH","Material Design 3: dynamic color; FAB; bottom sheet; bottom nav; tonal elevation; 48px touch targets","Material Design 3"
8,1,"healthcare medical clinical patient portal hospital","calm-clinical flat-modern","medical-blue calm-clinical","accessible-bold legible-large-print","Healthcare App","Stat Card Bar Chart Line Chart","HIGH","Healthcare mandates: WCAG AAA preferred; no jargon; 18px+ body; plain language; screen reader tested; no aggressive animation","WCAG 2.2 AAA / HIPAA"
9,1,"finance fintech banking trading investment","financial data-dense","bloomberg-dark trust-navy clean-fintech","system-native-web dense-compact","Financial Dashboard","Candlestick Chart Line Chart Stat Card Bar Chart","HIGH","Finance context: trust palette; no red/green-only for gain/loss (add arrow icon); OHLC candlestick for trading; number formatting","WCAG 2.2 SC 1.4.1 / PCI DSS 4.0"
10,1,"documentation docs wiki reference guide","content-first utility-first","reading-light clean-light tailwind-zinc","system-native-web technical-mono","Documentation Site","Code Block only","HIGH","Documentation: search-first; dark mode toggle; copy-code button; ToC sidebar; keyboard navigation; no fluff","WCAG 2.2 / Diátaxis 2024"
