id,name,keywords,best_for,avoid_when,data_volume,a11y_grade,a11y_notes,a11y_fallback,color_guidance,library_recommendation,source
1,Line Chart,"trend time-series growth timeline progress rate-of-change","Time dimension data; showing rise/fall trends over continuous period","Fewer than 4 data points (use stat card); more than 6 series (noise); no time axis","<1000 pts: SVG; >=1000 Canvas+downsampling; >10000 aggregate to intervals",AA,"Differentiate series by line style (solid/dashed/dotted) not color alone; add pattern overlays","Dashed/dotted lines per series; togglable data table with timestamps","Primary #0080FF; multiple series: distinct colors + distinct line styles","Chart.js Recharts ApexCharts","WCAG 2.2 SC 1.4.1 / W3C Data Visualization"
2,Bar Chart Vertical,"compare categories ranking value comparison magnitude","Comparing discrete categories by magnitude; ranking is core insight; categories <=15","Categories >15 (use table); data has time dimension (use line); showing proportions (use stacked)","<20 categories: vertical; 20-50: horizontal; >50 paginated table",AAA,"Value labels on each bar by default; sort control for user reordering","Value labels always visible; provide CSV export","Each bar distinct color; grouped same hue family; sort descending","Chart.js Recharts D3.js","WCAG 2.2 SC 1.4.1 AAA"
3,Bar Chart Horizontal,"horizontal bar rank league leaderboard comparison long-labels","Long category labels; ranking/leaderboard patterns; categories 5-20","Fewer than 5 items (use stat cards); time dimension data (use line)","5-50 categories",AAA,"Labels visible; sorted by value; axis labels clear","Value labels on all bars; downloadable table","Rank-ordered colors from high to low; same hue family","Chart.js Recharts","WCAG 2.2 SC 1.4.1"
4,Pie Chart Donut,"part-to-whole percentage proportion share donut","<=5 categories; one dominant segment vs rest; visual proportion emphasis","Categories >5; slice difference <5% (indistinguishable); accessibility-first contexts","Max 6 slices; beyond that use stacked bar",C,"Pie charts fail WCAG for colorblind users; slices rely on color alone; avoid as primary","Must provide stacked bar alternative + percentage data table as mandatory fallback","5-6 max colors; contrasting palette; largest slice at 12 o'clock; always label with %","Chart.js Recharts D3.js","WCAG 2.2 SC 1.4.1 -- low score; use with fallback"
5,Scatter Plot,"correlation distribution relationship pattern cluster outlier","Exploring relationship between two continuous variables; identifying clusters","Variables are categorical (use grouped bar); fewer than 20 points; mobile-primary","<500 SVG; 500-5000 Canvas 0.6-0.8 opacity; >5000 hexbin or aggregate",B,"Provide data table alternative; combine color + shape for colorblind users","Data table with correlation coefficient; shape markers (circle/square/triangle) per group","Color axis gradient (blue to red); bubble size relative to 3rd variable; opacity 0.6-0.8","D3.js Plotly Recharts","WCAG 2.2 SC 1.4.1"
6,Area Chart,"area fill cumulative volume trend stacked flow","Cumulative trends; showing volume over time; comparing stacked categories","Too many overlapping areas (>3) obscures data; negative values (use bar)","Same as line chart: downsampling at 1000+",AA,"Fill patterns differ per series; not just color; semi-transparent 0.5-0.7 opacity","Pattern fills per series; data table with download","Semi-transparent colors 50-70% opacity; pattern fills for colorblind","Recharts Chart.js ApexCharts","WCAG 2.2 SC 1.4.1"
7,Heat Map,"heatmap density intensity grid matrix correlation cross-tab","Showing density/intensity across two dimensions; time x category matrices","Small datasets (<20 cells); when exact values matter over pattern; accessibility-first","Any size; use CSS grid for small; D3 for large",B,"Color scale must include text labels; provide data table; sequential scale not diverging for density","Full data table as primary; heatmap as supplementary visual","Sequential single-hue scale preferred; diverging (blue-white-red) for deviation only","D3.js Vega-Lite","WCAG 2.2 SC 1.4.1"
8,Waffle Chart,"waffle grid part-to-whole proportion accessible alternative-to-pie","Accessible alternative to pie; showing part-to-whole with 1-100 cells","Categories >5; when precise % matters over visual metaphor; dense dashboards","Best at 100 cells total (each = 1%)",A,"Each cell readable; legend with color+pattern+text; screen reader count exposed via aria","aria-label with percentage; full breakdown list","Colorblind-safe palette; add patterns; no more than 5 categories","D3.js custom HTML/CSS","WCAG 2.2 SC 1.4.1 -- better than pie"
9,Stat Card,"KPI metric number single stat headline counter large","Single KPI; headline metric; sparkline companion; at-a-glance dashboard","When trend or breakdown context needed; when comparing many dimensions","Single value or value + trend",AAA,"Number + label + unit all visible; aria-label on the card","No special fallback needed; text-first design already accessible","High contrast text on card bg; status color only for positive/negative (always with icon+text)","Custom HTML/CSS shadcn/ui","WCAG 2.2 SC 1.3.1 -- inherently accessible"
10,Funnel Chart,"funnel conversion drop-off pipeline stages flow","Conversion funnels; pipeline stages; showing where users drop off","When stage order doesn't matter; fewer than 3 stages","3-8 stages",AA,"Label each stage with count + percent; arrows indicate direction","Numbered stage labels; data table; percentage text on each stage","Sequential single-hue darkening; stage labels in high-contrast text","Recharts Plotly Chart.js","WCAG 2.2 SC 1.4.1"
11,Gantt Chart,"gantt timeline project tasks schedule dependency duration","Project timelines; scheduling; dependency visualization","Real-time data; when tasks are very short (<1 day resolution on multi-month chart)","10-100 tasks",B,"Row labels always visible; color-coded categories with text label too; keyboard nav via arrow keys","Flat text timeline table as fallback; CSV export","Category color-coded; each category has text label not just color","D3.js dhtmlxGantt","WCAG 2.2 SC 1.3.1"
12,Treemap,"treemap hierarchy nested proportion drill-down part-to-whole-hierarchy","Hierarchical part-to-whole; file system sizes; category proportions in 2D","More than 2-3 levels deep (too complex); on mobile (too small to interact); accessibility-first","100-1000 leaf nodes",C,"Treemaps rely heavily on visual area perception; require text labels minimum 12px in cells","Full expandable tree table as primary interface; treemap as supplementary only","Color by category with text; limit to 6-8 distinct colors; always label cells","D3.js Recharts","WCAG 2.2 SC 1.4.1 -- limited accessibility"
13,Radar Chart,"radar spider web polygon multi-dimensional profile comparison","Comparing multiple entities across same dimensions; performance profiles","More than 5-6 axes (too complex); when differences between entities are very small","3-8 entities; 3-8 axes",B,"Provide numeric table with all values; label each axis clearly; color-blind-safe per entity","Full data table as primary; radar as supplementary","Color per entity + shape (filled/outlined/dashed); 3-5 entities max","Chart.js D3.js","WCAG 2.2 SC 1.4.1"
14,Sparkline,"sparkline inline mini trend compact row","Inline trend in tables or dashboards; compact trend without axis","When axes context matters; when comparing across sparklines (use grouped line chart)","7-30 data points per sparkline",AA,"aria-label with trend direction: 'Revenue trend: up 12% this week'","Text trend summary next to sparkline: 'up 12%'","Single color per sparkline; status color (green/red) with text label too","Recharts custom SVG","WCAG 2.2 SC 1.1.1"
15,Candlestick Chart,"candlestick OHLC stock financial trading price range","Financial OHLC price data; trading interfaces; stock charts","Non-financial data; non-expert audiences; accessibility-first contexts","Any volume with proper downsampling",B,"Red/green + filled/hollow distinction; provide hover tooltip with all 4 values; data table required","OHLC data table with all values; accessible color scheme (blue/orange not red/green)","Use direction (up filled / down hollow) not just color; blue/orange colorblind-safe option","TradingView Lightweight Charts Recharts","WCAG 2.2 SC 1.4.1"
16,Box Plot,"boxplot distribution quartile outlier statistical spread","Statistical distribution; comparing spread across groups; outlier detection","Non-statistical audiences; when median alone is sufficient (use bar)","Groups of 20+ values per box",B,"Label median Q1 Q3 whiskers explicitly; provide summary statistics table","Statistics table: min Q1 median Q3 max per group","Color per group; pattern fill optional; outlier dots labeled","D3.js Plotly","WCAG 2.2 SC 1.4.1"
17,Bubble Chart,"bubble size three-variable proportional comparison","Three-variable comparison; showing magnitude + two other dimensions","Four or more variables (too complex to parse); on mobile (too small)","20-200 bubbles",B,"Size + color + shape to distinguish; data table required; label outliers directly","Data table with all three variables; shape markers per category","Color by category; size represents 3rd variable; opacity 0.7 to show overlap","Recharts D3.js Plotly","WCAG 2.2 SC 1.4.1"
