id,category,name,keywords,primary_colors,secondary_colors,effects,best_for,avoid_for,light_mode,dark_mode,wcag_aa,source
1,minimal,Swiss Grid,"clean grid minimal functional whitespace high-contrast sans-serif essential geometric","#000000 #FFFFFF","#808080 #F5F5F5","none; subtle 200ms transitions; sharp type hierarchy","developer tools dashboards admin panels documentation SaaS","entertainment playful gaming creative portfolios",yes,yes,AAA,"WCAG 2.2 / Muller-Brockmann Grid Systems"
2,minimal,Flat 2.0,"flat simple clean solid color no shadow material-inspired modern","#1E88E5 #FFFFFF","#F5F5F5 #E0E0E0","flat transitions 150ms; no shadows; solid fills","productivity apps mobile first landing pages","luxury brands editorial immersive experiences",yes,yes,AA,"Material Design 3 / W3C ARIA Practices"
3,minimal,Content First,"typography-led minimal text-primary editorial reading-focused long-form","#1A1A1A #FFFFFF","#666666 #EFEFEF","none; generous line-height 1.6; slow fade-in 300ms","blogs documentation wikis legal content","dashboards data tools gaming",yes,yes,AAA,"WCAG 2.2 SC 1.4.8 Visual Presentation"
4,minimal,Monochrome,"grayscale achromatic single-hue neutral no-color accessible","#111111 #FFFFFF","#444444 #888888 #CCCCCC","none; layered grays; sharp contrast steps","accessibility-first apps terminal-style tools print","consumer apps brand-heavy products",yes,yes,AAA,"WCAG 2.2 SC 1.4.3 Contrast"
5,minimal,Air,"ultra-minimal spacious breathing room whitespace large margins sparse","#000000 #FFFFFF","#E8E8E8","slow dissolve 400ms; wide margins; generous padding","portfolio luxury brand editorial","data-dense tools forms crowded UIs",yes,no,AA,"Apple HIG 2025 Visual Hierarchy"
6,dashboard,Data Dense,"information-rich compact metrics tables inline dense utilitarian","#1E293B #FFFFFF","#64748B #334155","none; hover row highlight 150ms; sticky headers","internal admin tools analytics BI dashboards","consumer apps landing pages marketing",yes,yes,AA,"Material Design 3 / WCAG 2.2"
7,dashboard,Bento Grid,"bento box modular card grid flexible mosaic widget","#0F172A #FFFFFF","#1E293B #334155","card hover lift 3px 200ms; gradient spot accents; gap-based layout","dashboards product homes feature showcases","forms wizards long-form reading",yes,yes,AA,"Apple HIG 2025 / W3C CSS Grid"
8,dashboard,Cockpit,"control-room status panel real-time live monitoring operational","#0A0F1C #00FF9C","#1A2332 #0D4F3C","pulse animation 2s; glow borders; real-time counter transitions","ops dashboards system monitors DevOps","consumer shopping editorial",no,yes,AA,"Material Design 3 Dark Theme"
9,dashboard,Sidebar Command,"sidebar-primary command-palette navigation-forward dense list tree","#111827 #F9FAFB","#1F2937 #374151","sidebar collapse 250ms; hover fill; focus ring 2px","admin tools dev tools file managers","landing pages one-page sites marketing",yes,yes,AA,"Apple HIG 2025 Navigation / WCAG 2.2 SC 2.4.7"
10,dashboard,Split Pane,"two-panel editor IDE file-browser primary-secondary resizable","#1C1C1E #FFFFFF","#2C2C2E #3A3A3C","pane resize drag; transition 150ms; focus border","IDEs dev tools email clients file managers","single-column mobile-only consumer apps",yes,yes,AA,"Apple HIG 2025"
11,landing,Hero Bold,"hero full-bleed large-type dramatic impact above-fold conversion","#0000FF #FFFFFF","#FF0000 #FFFF00","fast fade-in 200ms; parallax scroll; bold type scale","product launches marketing SaaS landing conversion","documentation internal tools dense data",yes,yes,AA,"WCAG 2.2 SC 1.4.3"
12,landing,Scroll Story,"scroll-triggered narrative animated sections motion storytelling","#FFFFFF #111111","#E5E7EB #374151","scroll-triggered reveals 400ms; fade up 30px; stagger children","product tours feature stories brand campaigns","forms dashboards accessibility-first",yes,yes,AA,"W3C Scroll Snap / Apple HIG Motion"
