id,priority,category,rule,platform,description,do,avoid,severity,source
1,1,accessibility,color-contrast-aa,All,"Normal text requires 4.5:1 contrast ratio; large text (18px+) requires 3:1","Verify every text/bg pair with WCAG contrast checker before shipping","Assume light grey text on white is readable; trust designer eye",CRITICAL,"WCAG 2.2 SC 1.4.3"
2,1,accessibility,color-contrast-aaa,All,"AAA requires 7:1 for normal text; prefer for body text in consumer apps","Use 7:1 for primary body text in healthcare education government contexts","Apply AAA only to decorative text; ignore in all consumer contexts",HIGH,"WCAG 2.2 SC 1.4.6"
3,1,accessibility,focus-visible,All,"Keyboard focus indicator must be visible; 2px minimum; not removed by CSS","Add :focus-visible ring 2-4px offset 2px; use CSS outline not box-shadow for printing","Use outline:none without replacement; remove :focus for aesthetic reasons",CRITICAL,"WCAG 2.2 SC 2.4.7 / SC 2.4.11"
4,1,accessibility,alt-text,Web,"All meaningful images require descriptive alt text; decorative images use alt=''","Write alt text describing what the image conveys not what it depicts literally","Use filename as alt; use vague alts like 'image'; skip alt on informative images",CRITICAL,"WCAG 2.2 SC 1.1.1"
5,1,accessibility,aria-labels,All,"Interactive elements without visible text require aria-label or aria-labelledby","Add aria-label='Close dialog' to icon-only buttons; test with screen reader","Add aria-label that duplicates visible text; skip aria for icon-only controls",CRITICAL,"WCAG 2.2 SC 4.1.2 / Apple HIG Accessibility"
6,1,accessibility,keyboard-navigation,All,"Full keyboard operation required: Tab/Enter/Space/Escape/Arrow keys","Test entire app with keyboard only; ensure all interactive elements reachable via Tab","Make keyboard path depend on mouse hover; use div onClick without role",CRITICAL,"WCAG 2.2 SC 2.1.1 SC 2.1.3"
7,1,accessibility,heading-hierarchy,Web,"Heading levels h1-h6 must be sequential; never skip a level","Use one h1 per page; h2 for sections; h3 for subsections; never use h4 after h2","Use headings for visual styling; skip from h1 to h4; place h2 inside h4 parent",HIGH,"WCAG 2.2 SC 1.3.1"
8,1,accessibility,skip-links,Web,"Skip to main content link must be first focusable element on each page","Add <a href='#main' class='sr-only focus:not-sr-only'>Skip to content</a> as first element","Omit skip links on long nav-heavy pages; hide them with display:none permanently",HIGH,"WCAG 2.2 SC 2.4.1"
9,1,accessibility,color-not-only,All,"Information must not be conveyed by color alone","Pair color with icon text or pattern to convey state; use aria-live for dynamic changes","Use red/green only to show error/success without icon or text label",CRITICAL,"WCAG 2.2 SC 1.4.1"
10,1,accessibility,reduced-motion,All,"Respect prefers-reduced-motion media query; reduce or eliminate animations","Wrap all animations in @media(prefers-reduced-motion: no-preference){}","Apply animations globally without reduced-motion override; assume animation is safe",HIGH,"WCAG 2.2 SC 2.3.3 / Apple Reduced Motion"
11,1,accessibility,dynamic-text-size,Mobile,"Support system text size scaling; do not truncate at 2x system size","Use em/rem units; test at 200% browser zoom; avoid fixed-height containers on text","Use px for body font sizes; clip text with overflow:hidden on text containers",HIGH,"WCAG 2.2 SC 1.4.4 / Apple Dynamic Type"
12,1,accessibility,screen-reader-order,All,"DOM source order must match visual reading order for screen reader users","Build layouts where DOM order matches visual flow; use flex-direction for reorder only","Use CSS order to reverse visual from DOM order without aria-flowto fallback",HIGH,"WCAG 2.2 SC 1.3.2"
13,2,interaction,touch-target-size,Mobile,"Minimum 44x44 CSS pixels for all interactive touch targets (Apple); 48x48 Material","Use min-height: 44px; pad small icons to meet target size visually and functionally","Place 24px icons without padding; rely on proximity without meeting tap target minimums",CRITICAL,"Apple HIG 2025 Touch / Material Design 3 SC 2.5.8"
14,2,interaction,touch-spacing,Mobile,"8px minimum spacing between adjacent touch targets","Add margin/gap 8px+ between all adjacent buttons links form elements","Stack interactive elements with 0px gap; rely on UI density over usability",HIGH,"WCAG 2.2 SC 2.5.8 / Apple HIG 2025"
15,2,interaction,loading-feedback,All,"Provide immediate feedback (<100ms) for all user actions","Show loading spinner skeleton or progress within 100ms of user action","Leave UI frozen during async operations; use alert-based blocking progress",CRITICAL,"Material Design 3 / Nielsen Norman 1993 Response Times"
16,2,interaction,hover-not-only,Web,"Critical functionality must not depend on hover-only affordances","Add tap/click alternative for hover-revealed actions; test with touch device","Reveal primary actions on hover only; make menu items accessible only via hover",HIGH,"WCAG 2.2 SC 1.4.13 / Apple HIG 2025"
17,2,interaction,state-change-duration,All,"Interactive state changes must have 100-300ms transition; not instant 0ms","Use transition: all 150ms ease for button hover; 200ms for larger transitions","Use 0ms instant state changes on all interactions; apply 600ms+ on every interaction",MEDIUM,"Material Design 3 Motion / Apple HIG Motion"
18,2,interaction,error-prevention,All,"Prevent irreversible errors: confirm destructive actions; undo where possible","Add confirmation dialog for deletes; provide undo for sends; use soft delete pattern","Execute deletes immediately without confirm; rely on back-button recovery",HIGH,"WCAG 2.2 SC 3.3.4 / Nielsen Usability Heuristics"
19,2,interaction,click-area-padding,Web,"Clickable elements need adequate padding; text links in body need 4px+ padding","Add padding: 4px 8px to inline links; padding: 8px 16px to buttons","Use padding:0 on clickable elements; make only text characters clickable",MEDIUM,"WCAG 2.2 SC 2.5.5 / Apple HIG 2025"
20,3,performance,image-formats,Web,"Use WebP or AVIF for photos; SVG for icons; PNG only for pixel-art","Serve <picture> with AVIF/WebP sources and JPEG fallback; use SVG for all icons","Serve JPEG for hero images with no modern format fallback; use PNG for icons",HIGH,"WCAG 2.2 SC 2.4 / Web Vitals CLS"
21,3,performance,lazy-loading,Web,"Images and non-critical content should load lazily below the fold","Add loading='lazy' to all images not in the initial viewport; use Intersection Observer","Eager-load all page images including those far below fold; assume fast connection",HIGH,"W3C HTML / Web Vitals LCP"
